5055,Bihar,Madhubani,Muskan Health Clinic,https://www.medindia.net/directories/hospitals/muskan-health-clinic-madhubani-bihar-18562.htm,Madhubani - 847403, Bihar
5056,Bihar,Madhubani,Ramshila Health Care Hospital,https://www.medindia.net/directories/hospitals/ramshila-health-care-hospital-madhubani-bihar-21867.htm,Madhubani - 847211, Bihar
5057,Bihar,Madhubani,Sharma Clinic,https://www.medindia.net/directories/hospitals/sharma-clinic-madhubani-bihar-35367.htm,Madhubani - 847402, Bihar
5058,Bihar,Madhubani,Tara Xray Clinic & Ultrasonic Centre,https://www.medindia.net/directories/hospitals/tara-xray-clinic-ultrasonic-centre-madhubani-bihar-30473.htm,Madhubani - 847226, Bihar
5059,Bihar,Madhubani,Urban Primary Health Centre,https://www.medindia.net/directories/hospitals/urban-primary-health-centre-madhubani-bihar-84009.htm,Madhubani - 854301, Bihar
5060,Bihar,Madhubani,Z K Memorial Hospital,https://www.medindia.net/directories/hospitals/z-k-memorial-hospital-madhubani-bihar-10400.htm,Madhubani - 847235, Bihar
5061,Bihar,Maheshkhunt,Primary Health Hospital,https://www.medindia.net/directories/hospitals/primary-health-hospital-maheshkhunt-bihar-83849.htm,Maheshkhunt - 852201, Bihar
5062,Bihar,Mahishi,Primary Health Center,https://www.medindia.net/directories/hospitals/primary-health-center-mahishi-bihar-83852.htm,Mahishi - 852216, Bihar
5063,Bihar,Mahua,Government Primary Hospital,https://www.medindia.net/directories/hospitals/government-primary-hospital-mahua-bihar-83942.htm,Mahua - 844122, Bihar
5064,Bihar,Mahua,Primary Health Center,https://www.medindia.net/directories/hospitals/primary-health-center-mahua-bihar-83949.htm,Mahua - 844122, Bihar
5065,Bihar,Mairwa,Referral Hospital,https://www.medindia.net/directories/hospitals/referral-hospital-mairwa-bihar-56421.htm,Mairwa - 841239, Bihar
5066,Bihar,Majhaulia,Government Hospital,https://www.medindia.net/directories/hospitals/government-hospital-majhaulia-bihar-72509.htm,Majhaulia - 845454, Bihar
5067,Bihar,Makhdumpur Urf Tal Berai,Primary Health Center,https://www.medindia.net/directories/hospitals/primary-health-center-makhdumpur-urf-tal-berai-bihar-83953.htm,Makhdumpur Urf Tal Berai - 844118, Bihar
5068,Bihar,Maniawan,Primary Health Center,https://www.medindia.net/directories/hospitals/primary-health-center-maniawan-bihar-84004.htm,Maniawan - 803111, Bihar
5069,Bihar,Manjhi,Primary Health Centre,https://www.medindia.net/directories/hospitals/primary-health-centre-manjhi-bihar-83888.htm,Manjhi - 841313, Bihar
5070,Bihar,Mansi,Government Hospital,https://www.medindia.net/directories/hospitals/government-hospital-mansi-bihar-72586.htm,Mansi - 851214, Bihar
5071,Bihar,Marangi,Primary Health Centre,https://www.medindia.net/directories/hospitals/primary-health-centre-marangi-bihar-72629.htm,Marangi - 854103, Bihar
5072,Bihar,Mashrakh,Community Health Centre,https://www.medindia.net/directories/hospitals/community-health-centre-mashrakh-bihar-83962.htm,Mashrakh - 841417, Bihar
5073,Bihar,Masrakh,Government Hospital,https://www.medindia.net/directories/hospitals/government-hospital-masrakh-bihar-83908.htm,Masrakh - 841417, Bihar
5074,Bihar,Matihani,Primary Health Center,https://www.medindia.net/directories/hospitals/primary-health-center-matihani-bihar-72564.htm,Matihani - 824231, Bihar
5075,Bihar,Mayaganj,Mayaganj Hospital,https://www.medindia.net/directories/hospitals/mayaganj-hospital-mayaganj-bihar-72339.htm,Mayaganj - 812001, Bihar
5076,Bihar,Mehasia,Government Primary Health Care Centre,https://www.medindia.net/directories/hospitals/government-primary-health-care-centre-mehasia-bihar-83872.htm,Mehasia - 843302, Bihar
5077,Bihar,Mirganj,Primary Health Center,https://www.medindia.net/directories/hospitals/primary-health-center-mirganj-bihar-72570.htm,Mirganj - 805131, Bihar
5078,Bihar,Mohaddinagar,Government Health Center,https://www.medindia.net/directories/hospitals/government-health-center-mohaddinagar-bihar-72351.htm,Mohaddinagar - 812002, Bihar
5079,Bihar,Motihari,Amar Hospital,https://www.medindia.net/directories/hospitals/amar-hospital-motihari-bihar-3063.htm,Motihari - 845401, Bihar
5080,Bihar,Motihari,Anad Hospital,https://www.medindia.net/directories/hospitals/anad-hospital-motihari-bihar-54973.htm,Motihari - 845401, Bihar
5081,Bihar,Motihari,BHC Hospital,https://www.medindia.net/directories/hospitals/bhc-hospital-motihari-bihar-38630.htm,Motihari - 845401, Bihar
5082,Bihar,Motihari,City Clinic,https://www.medindia.net/directories/hospitals/city-clinic-motihari-bihar-63115.htm,Motihari - 845401, Bihar
5083,Bihar,Motihari,City Dhanvantri Health Clinic,https://www.medindia.net/directories/hospitals/city-dhanvantri-health-clinic-motihari-bihar-73545.htm,Motihari - 845401, Bihar
5084,Bihar,Motihari,Dhanwantari Allergy & Asthma Clinic,https://www.medindia.net/directories/hospitals/dhanwantari-allergy-asthma-clinic-motihari-bihar-38385.htm,Motihari - 845401, Bihar
5085,Bihar,Motihari,Dhanwantari Allergy And Asthma Clinic,https://www.medindia.net/directories/hospitals/dhanwantari-allergy-and-asthma-clinic-motihari-bihar-53890.htm,Motihari - 845401, Bihar
5086,Bihar,Motihari,Dr Hussain Clinic,https://www.medindia.net/directories/hospitals/dr-hussain-clinic-motihari-bihar-10700.htm,Motihari - 845401, Bihar
5087,Bihar,Motihari,Dr. Dilip Kumar Clinic,https://www.medindia.net/directories/hospitals/dr-dilip-kumar-clinic-motihari-bihar-83545.htm,Motihari - 845401, Bihar
5088,Bihar,Motihari,ECSH Poly Clinic Motihari,https://www.medindia.net/directories/hospitals/ecsh-poly-clinic-motihari-motihari-bihar-73037.htm,Motihari - 845401, Bihar
5089,Bihar,Motihari,Hahnemann Homoeo Health Center,https://www.medindia.net/directories/hospitals/hahnemann-homoeo-health-center-motihari-bihar-93721.htm,Motihari - 845401, Bihar
5090,Bihar,Motihari,Hassan Dental Clinic,https://www.medindia.net/directories/hospitals/hassan-dental-clinic-motihari-bihar-51839.htm,Motihari - 845401, Bihar
5091,Bihar,Motihari,Homoeo Clinic,https://www.medindia.net/directories/hospitals/homoeo-clinic-motihari-bihar-17923.htm,Motihari - 845401, Bihar
5092,Bihar,Motihari,Krishna Hospital,https://www.medindia.net/directories/hospitals/krishna-hospital-motihari-bihar-83502.htm,Motihari - 845347, Bihar
5093,Bihar,Motihari,Manish Mobile Clinic,https://www.medindia.net/directories/hospitals/manish-mobile-clinic-motihari-bihar-43079.htm,Motihari - 845411, Bihar
5094,Bihar,Motihari,Oplus Hospital,https://www.medindia.net/directories/hospitals/oplus-hospital-motihari-bihar-88500.htm,Motihari - 845401, bihar
5095,Bihar,Motihari,Oplus Hospital & Heart Centre,https://www.medindia.net/directories/hospitals/oplus-hospital-heart-centre-motihari-bihar-82074.htm,Motihari - 845401, Bihar
5096,Bihar,Motihari,Oro Care Dental Clinic,https://www.medindia.net/directories/hospitals/oro-care-dental-clinic-motihari-bihar-39768.htm,Motihari - 845401, Bihar
5097,Bihar,Motihari,Rahat Clinic,https://www.medindia.net/directories/hospitals/rahat-clinic-motihari-bihar-61093.htm,Motihari - 845401, Bihar
5098,Bihar,Motihari,Sanjeevani Care Hospital,https://www.medindia.net/directories/hospitals/sanjeevani-care-hospital-motihari-bihar-17708.htm,Motihari - 845401, Bihar
5099,Bihar,Motihari,Shri Astiavinayak Dental Clinic,https://www.medindia.net/directories/hospitals/shri-astiavinayak-dental-clinic-motihari-bihar-35488.htm,Motihari - 845437, Bihar
5100,Bihar,Motihari,Shri Astyavinayak Dental Clinic,https://www.medindia.net/directories/hospitals/shri-astyavinayak-dental-clinic-motihari-bihar-57643.htm,Motihari - 845401, Bihar
5101,Bihar,Motihari,Sudhir Seva Sadan Hospital,https://www.medindia.net/directories/hospitals/sudhir-seva-sadan-hospital-motihari-bihar-76147.htm,Motihari - 845456, Bihar
5102,Bihar,Motihari,Tiwari Homeyo Clinic,https://www.medindia.net/directories/hospitals/tiwari-homeyo-clinic-motihari-bihar-12553.htm,Motihari - 845401, Bihar
5103,Bihar,Motihari,Usha Health Center,https://www.medindia.net/directories/hospitals/usha-health-center-motihari-bihar-11240.htm,Motihari - 845302, Bihar
5104,Bihar,Motihari,Vishwa Hospital,https://www.medindia.net/directories/hospitals/vishwa-hospital-motihari-bihar-59976.htm,Motihari - 845401, Bihar
5105,Bihar,Munger,Arpan Ortho Hospital,https://www.medindia.net/directories/hospitals/arpan-ortho-hospital-munger-bihar-81796.htm,Munger - 811201, Bihar
5106,Bihar,Munger,Baba Baidynath Eye Hospital,https://www.medindia.net/directories/hospitals/baba-baidynath-eye-hospital-munger-bihar-92769.htm,Munger - 813321, Bihar
5107,Bihar,Munger,Bhagwan Gautam Buddha Hospital,https://www.medindia.net/directories/hospitals/bhagwan-gautam-buddha-hospital-munger-bihar-768.htm,Munger - 811201, Bihar
5108,Bihar,Munger,City Critical Hospital Pvt. Ltd,https://www.medindia.net/directories/hospitals/city-critical-hospital-pvt-ltd-munger-bihar-4472.htm,MUNGER - 811201, Bihar
5109,Bihar,Munger,Dr. J. K. Barma Memorial Medicare and Reaserch Centre,https://www.medindia.net/directories/hospitals/dr-j-k-barma-memorial-medicare-and-reaserch-centre-munger-bihar-101000.htm,Munger - 811201, Bihar
5110,Bihar,Munger,Eastern Railway Main Hospital,https://www.medindia.net/directories/hospitals/eastern-railway-main-hospital-munger-bihar-66377.htm,Munger - 811214, Bihar
5111,Bihar,Munger,Gomati Goenka Matri Sadan,https://www.medindia.net/directories/hospitals/gomati-goenka-matri-sadan-munger-bihar-105146.htm,Munger - 811201, Bihar
5112,Bihar,Munger,Jeevan Avtar Hospital,https://www.medindia.net/directories/hospitals/jeevan-avtar-hospital-munger-bihar-3803.htm,Munger - 811201, Bihar
5113,Bihar,Munger,Jeevan-Jyoti Medical and Research Center-Munger,https://www.medindia.net/directories/hospitals/jeevan-jyoti-medical-and-research-center-munger-munger-bihar-4339.htm,Munger - 811201, Bihar
5114,Bihar,Munger,Modern Eye Centre,https://www.medindia.net/directories/hospitals/modern-eye-centre-munger-bihar-1695.htm,Munger - 81120, Bihar
5115,Bihar,Munger,Munger Surgery,https://www.medindia.net/directories/hospitals/munger-surgery-munger-bihar-322.htm,Munger - 811201, Bihar
